date,HH,COE,T,BAU El,COP,BAU The,PCM Mode,Q,SOC,SoCdelta,MaxDis,BAU Cost (GBP),NQ,NSOC
2019-02-01,46,10.76,2.0,26,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.0128,0.0,0.0
2019-02-01,47,11.53,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.2283999999999997,0.0,0.0
2019-02-01,48,11.0,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.08,0.0,0.0
2019-02-02,1,11.53,2.0,21,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.2283999999999997,0.0,0.0
2019-02-02,2,13.2,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.6959999999999997,0.0,0.0
2019-02-02,3,11.4,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.1919999999999997,0.0,0.0
2019-02-02,4,10.56,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.9568,0.0,0.0
2019-02-02,5,11.88,2.0,21,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.3264000000000005,0.0,0.0
2019-02-02,6,11.4,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.1919999999999997,0.0,0.0
2019-02-02,7,10.12,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8335999999999997,0.0,0.0
2019-02-02,8,10.1,2.0,22,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8280000000000003,0.0,0.0
2019-02-02,9,10.12,2.0,21,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8335999999999997,0.0,0.0
2019-02-02,10,10.1,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8280000000000003,0.0,0.0
2019-02-02,11,9.9,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.772,0.0,0.0
2019-02-02,12,10.1,2.0,23,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8280000000000003,0.0,0.0
2019-02-02,13,10.12,2.0,22,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8335999999999997,0.0,0.0
2019-02-02,14,9.9,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.772,0.0,0.0
2019-02-02,15,10.19,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8531999999999997,0.0,0.0
2019-02-02,16,10.12,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8335999999999997,0.0,0.0
2019-02-02,17,10.19,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,2.8531999999999997,0.0,0.0
2019-02-02,18,11.22,2.0,26,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.1416000000000004,0.0,0.0
2019-02-02,19,12.54,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.5112,0.0,0.0
2019-02-02,20,13.2,2.0,24,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.6959999999999997,0.0,0.0
2019-02-02,21,13.9,2.0,27,5.192,290.752,standby,0.0,0.0,0.0,-0.0,3.892,0.0,0.0
2019-02-02,22,11.99,3.0,25,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,3.3572,0.0,0.0
2019-02-02,23,12.1,3.0,24,4.998,279.88800000000003,standby,0.0,0.0,0.0,-0.0,3.388,0.0,0.0
2019-02-02,24,11.42,4.0,26,4.804,269.024,standby,0.0,0.0,0.0,-0.0,3.1976,0.0,0.0
2019-02-02,25,11.57,4.0,27,4.804,269.024,standby,0.0,0.0,0.0,-0.0,3.2396000000000003,0.0,0.0
2019-02-02,26,11.42,4.0,28,4.804,269.024,standby,0.0,0.0,0.0,-0.0,3.1976,0.0,0.0
2019-02-02,27,11.66,4.0,29,4.804,269.024,standby,0.0,0.0,0.0,-0.0,3.2648,0.0,0.0
2019-02-02,28,11.42,5.0,29,4.61,258.16,standby,0.0,0.0,0.0,-0.0,3.1976,0.0,0.0
2019-02-02,29,11.29,5.0,28,4.61,258.16,standby,0.0,0.0,0.0,-0.0,3.1612,0.0,0.0
2019-02-02,30,10.25,5.0,30,4.61,258.16,standby,0.0,0.0,0.0,-0.0,2.87,0.0,0.0
2019-02-02,31,10.21,5.0,28,4.61,258.16,standby,0.0,0.0,0.0,-0.0,2.8588,0.0,0.0
2019-02-02,32,10.21,5.0,30,4.61,258.16,standby,0.0,0.0,0.0,-0.0,2.8588,0.0,0.0
